split,issue_number,final_label,before,after
train,6841,bug,"GCE, AWS and other Volume sources should be optional in the VolumeSource struct They are all required right now: https://github.com/GoogleCloudPlatform/kubernetes/blob/master/pkg/api/v1beta3/types.go#L203
Need to add the omitempty tag.","GCE, AWS and other Volume sources should be optional in the VolumeSource struct They are all required right now: <URL>
Need to add the omitempty tag."
train,6842,bug,"Some struct fields missing in swagger-spec Some struct fields are missing in the properties field of models in our swagger-spec.
For example, the model for VolumeSource does not have awsElasticBlockStore property: https://github.com/GoogleCloudPlatform/kubernetes/blob/master/api/swagger-spec/v1beta1.json#L9849
 while the struct definition has that field: https://github.com/GoogleCloudPlatform/kubernetes/blob/master/pkg/api/v1beta1/types.go#L110

This most likely is a bug in go-restful, but I ...","Some struct fields missing in swagger-spec Some struct fields are missing in the properties field of models in our swagger-spec.
For example, the model for VolumeSource does not have awsElasticBlockStore property: <URL>
 while the struct definition has that field: <URL>

This most likely is a bug in go-restful, but I havent been able to produce a standalone example to reproduce.
Filling this in the meantime to keep track."
train,7100,bug,"Duplicate replacePod APIs defined in spec replacePod is defined twice in swagger-spec at
https://github.com/GoogleCloudPlatform/kubernetes/blob/master/api/swagger-spec/v1beta3.json#L4026 and https://github.com/GoogleCloudPlatform/kubernetes/blob/master/api/swagger-spec/v1beta3.json#L4776 due to which replacePod fails with 404 on an existing pod.","Duplicate replacePod APIs defined in spec replacePod is defined twice in swagger-spec at
<URL> and <URL> due to which replacePod fails with 404 on an existing pod."
train,8943,bug,"'--api-prefix' option in 'kubectl proxy' documentation is wrong Without `--api-prefix`, `kubectl proxy` works just fine,

```
$ curl localhost:8001/api/
{
  ""versions"": [
    ""v1beta1"",
    ""v1beta2"",
    ""v1beta3""
  ]
}
```

With '--api-prefix=xxx-api', it stops work:

```
$ curl localhost:8001/xxx-api/
404 page not found
```

My `kubectl` version:

```
$ kubectl version
Client Version: version.Info{Major:""0"", Minor:""17+"", GitVersion:""v0.17.1-878-g851f6b754241c0-dirty"", GitCommit:""851f6b7542...","'--api-prefix' option in 'kubectl proxy' documentation is wrong Without `--api-prefix`, `kubectl proxy` works just fine,

```
$ curl localhost:8001/api/
{
 ""versions"": [
 ""v1beta1"",
 ""v1beta2"",
 ""v1beta3""
 ]
}
```

With '--api-prefix=xxx-api', it stops work:

```
$ curl localhost:8001/xxx-api/
404 page not found
```

My `kubectl` version:

```
$ kubectl version
Client Version: version.Info{Major:""0"", Minor:""17+"", GitVersion:""v0.17.1-878-g851f6b754241c0-dirty"", GitCommit:""851f6b754241c01f30c43..."
train,11687,bug,"Service account is blocked by authorization. (DNS addon, kube2sky) I'm using v1.0.1 with authorization. When setting up DNS addon, kube2sky can reach https://kubernetes:443, thanks to the instructions in #10265. However kube2sky can't get data from the api server.

```
kube2sky logs:
E0722 10:04:10.546193       1 reflector.go:136] Failed to list *api.Service: the server does not allow access to the requested resource (get services)
E0722 10:04:10.547583       1 reflector.go:136] Failed to lis...","Service account is blocked by authorization. (DNS addon, kube2sky) I'm using v1.0.1 with authorization. When setting up DNS addon, kube2sky can reach <URL> thanks to the instructions in #10265. However kube2sky can't get data from the api server.

```
kube2sky logs:
E0722 10:04:10.546193 1 reflector.go:136] Failed to list *api.Service: the server does not allow access to the requested resource (get services)
E0722 10:04:10.547583 1 reflector.go:136] Failed to list *api.Endpoints: the server d..."
train,11696,bug,"walkthrough/k8s201.html error in rendered text The source has the following:

``` console
$ export SERVICE_IP=$(kubectl get service nginx-service -o=template -t={{.spec.clusterIP}})
$ export SERVICE_PORT=$(kubectl get service nginx-service -o=template '-t={{(index .spec.ports 0).port}}')
$ curl http://${SERVICE_IP}:${SERVICE_PORT}
```

but on the support kubernetes.io site at :

http://kubernetes.io/v1.0/docs/user-guide/walkthrough/k8s201.html

The template has been omitted.

```
$ export SER...","walkthrough/k8s201.html error in rendered text The source has the following:

``` console
$ export SERVICE_IP=$(kubectl get service nginx-service -o=template -t={{.spec.clusterIP}})
$ export SERVICE_PORT=$(kubectl get service nginx-service -o=template '-t={{(index .spec.ports 0).port}}')
$ curl <URL>
```

but on the support kubernetes.io site at :

<URL>

The template has been omitted.

```
$ export SERVICE_IP=$(kubectl get service nginx-service -o=template -t=)
$ export SERVICE_PORT=$(kubect..."
train,12357,bug,"Broken link on kubernetes.io to http://kubernetes.io/v1.0/DESIGN.html  On the page http://kubernetes.io/v1.0/docs/user-guide/walkthrough/README.html the link http://kubernetes.io/v1.0/DESIGN.html is broken. Reported by @ivant

@RichieEscarez","Broken link on kubernetes.io to <URL> On the page <URL> the link <URL> is broken. Reported by <USER>

<USER>"
train,15698,bug,"On kubernetes.io AWS link 404-s Going to ""Documentation > Turn-Key Cloud Solutions > AWS"" takes you to http://kubernetes.io/v1.0/docs/getting-started-guides/AWS.html which 404s and then redirects back to homepage.","On kubernetes.io AWS link 404-s Going to ""Documentation > Turn-Key Cloud Solutions > AWS"" takes you to <URL> which 404s and then redirects back to homepage."
train,17155,bug,"API Reference: shows ""(VAR_NAME)"" instead of ""$$(VAR_NAME)"" In http://kubernetes.io/v1.1/docs/api-reference/v1/definitions.html#_v1_container it reads `The $(VAR_NAME) syntax can be escaped with a double , ie: (VAR_NAME).` but it should read `The $(VAR_NAME) syntax can be escaped with a double $$, i.e. $$(VAR_NAME).`","API Reference: shows ""(VAR_NAME)"" instead of ""$$(VAR_NAME)"" In <URL> it reads `The $(VAR_NAME) syntax can be escaped with a double , ie: (VAR_NAME).` but it should read `The $(VAR_NAME) syntax can be escaped with a double $$, i.e. $$(VAR_NAME).`"
train,17448,bug,"Kubectl download links for 1.1.1 still point to 1.0.1 On the download link to the `kubectl` binary at http://kubernetes.io/v1.1/docs/getting-started-guides/docker.html it still points to the v1.0.1 kubectl binary.

I'm not sure if this is intentional but it meant that things like `kubectl get jobs` didn't work for me.","Kubectl download links for 1.1.1 still point to 1.0.1 On the download link to the `kubectl` binary at <URL> it still points to the v1.0.1 kubectl binary.

I'm not sure if this is intentional but it meant that things like `kubectl get jobs` didn't work for me."
