strategy,source_type,issue_number_or_path,title,section,char_length,text_preview
baseline_fixed,docs,kubernetes_kubernetes_readme_md,README.md,,512,# Kubernetes (K8s)  [![CII Best Practices](https://bestpractices.coreinfrastructure.org/projects/569/badge)](https://bestpractices.coreinfrastructure.org/projects/569) [![Go Report Card](https://gorep
baseline_fixed,docs,kubernetes_kubernetes_readme_md,README.md,,512,"ithub.com/kubernetes/kubernetes/raw/master/logo/logo.png"" width=""100"">  ----  Kubernetes, also known as K8s, is an open source system for managing [containerized applications] across multiple hosts. I"
baseline_fixed,issue,139134,Metrics missing using MultiCIDRServiceAllocator,,512,Metrics missing using MultiCIDRServiceAllocator  ### What happened?  Our initial cluster ServiceCidr was running out of available IP addresses. We created a new one which extended the existing default
baseline_fixed,issue,139134,Metrics missing using MultiCIDRServiceAllocator,,511,"single ServiceCidr in our cluster using our newly extended range. In the past, we had relied upon the metrics `kube_apiserver_clusterip_allocator_available_ips` and `kube_apiserver_clusterip_allocator"
baseline_fixed,comment,139134,Metrics missing using MultiCIDRServiceAllocator,,61,/sig network  Since I believe you guys drove KEP 1880 forward
baseline_fixed,comment,139134,Metrics missing using MultiCIDRServiceAllocator,,510,/assign @aojea   @sebhoss can you give me the version? I can see the metrics in 1.35  ``` kubectl version Client Version: v1.35.3-dispatcher Kustomize Version: v5.7.1 Server Version: v1.35.0 ```  ```s
section_aware,docs,kubernetes_kubernetes_readme_md,README.md,# Kubernetes (K8s),941,# Kubernetes (K8s)  [![CII Best Practices](https://bestpractices.coreinfrastructure.org/projects/569/badge)](https://bestpractices.coreinfrastructure.org/projects/569) [![Go Report Card](https://gorep
section_aware,docs,kubernetes_kubernetes_readme_md,README.md,# Kubernetes (K8s),346,"Kubernetes is hosted by the Cloud Native Computing Foundation ([CNCF]). If your company wants to help shape the evolution of technologies that are container-packaged, dynamically scheduled, and micros"
section_aware,issue,139134,Metrics missing using MultiCIDRServiceAllocator,,47,Metrics missing using MultiCIDRServiceAllocator
section_aware,issue,139134,Metrics missing using MultiCIDRServiceAllocator,### What happened?,739,### What happened?  Our initial cluster ServiceCidr was running out of available IP addresses. We created a new one which extended the existing default one. We then updated kube-apiserver's `--service
section_aware,comment,139134,Metrics missing using MultiCIDRServiceAllocator,,61,/sig network  Since I believe you guys drove KEP 1880 forward
section_aware,comment,139134,Metrics missing using MultiCIDRServiceAllocator,,193,/assign @aojea  @sebhoss can you give me the version? I can see the metrics in 1.35  ``` kubectl version Client Version: v1.35.3-dispatcher Kustomize Version: v5.7.1 Server Version: v1.35.0 ```
