golden_id,question,ground_truth_chunk_ids,retrieved_chunk_ids_top_10,hit_at_5,recall_at_5,reciprocal_rank
rag_gold_0000,What does the Kubernetes documentation say about Namespaces of Services?,section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0001,section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0004;section_aware__docs__kubernetes_kubernetes_readme_md__0003;section_aware__issue__issue_135518__0001;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0001;section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_pods_index_md__0002;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_service_md__0065;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_service_md__0003;section_aware__issue__issue_135518__0002;section_aware__comment__comment_1660590496__0000,1.0,1.0,0.25
rag_gold_0001,What does the Kubernetes documentation say about Services in Kubernetes?,section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_service_md__0003,section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0004;section_aware__docs__kubernetes_kubernetes_readme_md__0003;section_aware__issue__issue_135518__0001;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_service_md__0065;section_aware__comment__comment_2568681073__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_service_md__0003;section_aware__issue__issue_135518__0002;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_service_md__0048;section_aware__comment__comment_3544272154__0000,0.0,0.0,0.14285714285714285
rag_gold_0002,What does the Kubernetes documentation say about Why volumes are important?,section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0002,section_aware__docs__kubernetes_kubernetes_readme_md__0003;section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0065;section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0007;section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0003;section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0002;section_aware__issue__issue_135518__0002;section_aware__comment__comment_4171844587__0000;section_aware__issue__issue_131319__0002;section_aware__issue__issue_135518__0001;section_aware__comment__comment_4346025450__0000,1.0,1.0,0.2
rag_gold_0003,What does the Kubernetes documentation say about Use Case?,section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_controllers_deployment_md__0003,section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_controllers_deployment_md__0002;section_aware__docs__kubernetes_kubernetes_readme_md__0003;section_aware__issue__issue_135518__0002;section_aware__docs__kubernetes_kubernetes_readme_md__0009;section_aware__issue__issue_135518__0001;section_aware__comment__comment_3898074346__0000;section_aware__comment__comment_1660590496__0000;section_aware__docs__kubernetes_kubernetes_readme_md__0002;section_aware__comment__comment_4273676599__0000;section_aware__comment__comment_2568681073__0000,0.0,0.0,0.0
rag_gold_0004,What does the Kubernetes documentation say about Listing your cluster?,section_aware__docs__kubernetes_website_content_en_docs_tasks_debug_debug_cluster_index_md__0001,section_aware__docs__kubernetes_website_content_en_docs_tasks_debug_debug_cluster_index_md__0001;section_aware__docs__kubernetes_kubernetes_readme_md__0003;section_aware__issue__issue_135518__0002;section_aware__issue__issue_135518__0001;section_aware__docs__kubernetes_website_content_en_docs_concepts_architecture_index_md__0001;section_aware__comment__comment_1660590496__0000;section_aware__comment__comment_3898074346__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_pods_index_md__0026;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_service_md__0023,1.0,1.0,1.0
rag_gold_0005,What was the reported issue in #119640: NCC-E003660-WV3: Privilege Escalation via `nodes/proxy` Perm...?,section_aware__issue__issue_119640__0002,section_aware__issue__issue_119640__0001;section_aware__issue__issue_119640__0000;section_aware__issue__issue_119640__0003;section_aware__issue__issue_138315__0001;section_aware__issue__issue_137577__0001;section_aware__issue__issue_138315__0002;section_aware__issue__issue_119640__0002;section_aware__issue__issue_137085__0003;section_aware__docs__kubernetes_website_content_en_docs_concepts_architecture_index_md__0010;section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0066,0.0,0.0,0.14285714285714285
rag_gold_0006,What was the reported issue in #127803: Support takeover for devicemanager/device-plugin?,section_aware__issue__issue_127803__0002,section_aware__issue__issue_127803__0000;section_aware__issue__issue_127803__0001;section_aware__issue__issue_127803__0002;section_aware__comment__comment_2388522433__0000;section_aware__comment__comment_2388512852__0000;section_aware__comment__comment_2389222458__0000;section_aware__issue__issue_135472__0003;section_aware__issue__issue_138407__0005;section_aware__comment__comment_2533496033__0000;section_aware__comment__comment_2389212892__0000,1.0,1.0,0.3333333333333333
rag_gold_0007,What problem was reported in issue #128162: Pod admission can fail due to webhooks + context deadline ex...?,section_aware__issue__issue_128162__0001,section_aware__issue__issue_128162__0000;section_aware__issue__issue_128162__0004;section_aware__comment__comment_2430178458__0000;section_aware__issue__issue_128162__0003;section_aware__issue__issue_128162__0001;section_aware__comment__comment_2430181868__0000;section_aware__issue__issue_128162__0002;section_aware__issue__issue_138315__0010;section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0013;section_aware__comment__comment_3745209236__0003,1.0,1.0,0.2
rag_gold_0008,What problem was reported in issue #128413: response_sizes metrics for verb=WATCH is only present for bu...?,section_aware__issue__issue_128413__0002,section_aware__issue__issue_128413__0000;section_aware__issue__issue_128413__0002;section_aware__issue__issue_128413__0003;section_aware__issue__issue_128413__0004;section_aware__issue__issue_128413__0005;section_aware__comment__comment_4488400890__0000;section_aware__issue__issue_139134__0000;section_aware__issue__issue_128310__0000;section_aware__issue__issue_139134__0005;section_aware__comment__comment_4488773819__0000,1.0,1.0,0.5
rag_gold_0009,What problem was reported in issue #128684: No overflow validation when using MilliValue()?,section_aware__issue__issue_128684__0001,section_aware__issue__issue_128684__0000;section_aware__comment__comment_2501977360__0000;section_aware__issue__issue_128684__0012;section_aware__issue__issue_128684__0001;section_aware__issue__issue_128684__0008;section_aware__comment__comment_2550117998__0000;section_aware__issue__issue_128684__0005;section_aware__issue__issue_128684__0011;section_aware__issue__issue_128684__0003;section_aware__issue__issue_136629__0000,1.0,1.0,0.25
rag_gold_0010,What problem was reported in issue #128798: Deployment controller: Inconsistency of deletePod pod update...?,section_aware__issue__issue_128798__0001,section_aware__issue__issue_128798__0000;section_aware__issue__issue_128798__0001;section_aware__issue__issue_128798__0004;section_aware__comment__comment_4031385649__0000;section_aware__issue__issue_135483__0001;section_aware__issue__issue_128798__0002;section_aware__issue__issue_128798__0003;section_aware__comment__comment_3519375226__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_controllers_deployment_md__0075;section_aware__comment__comment_4023331521__0000,1.0,1.0,0.5
rag_gold_0011,What problem was reported in issue #129357: [FG:InPlacePodVerticalScaling] Pod CPU limit is not configur...?,section_aware__issue__issue_129357__0002,section_aware__issue__issue_129357__0000;section_aware__comment__comment_2607254216__0000;section_aware__comment__comment_2607170035__0000;section_aware__comment__comment_2607254538__0000;section_aware__comment__comment_4031385649__0000;section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_pods_index_md__0029;section_aware__comment__comment_2563388589__0000;section_aware__comment__comment_2564828278__0002;section_aware__issue__issue_128684__0002;section_aware__issue__issue_129357__0002,0.0,0.0,0.1
rag_gold_0012,What problem was reported in issue #131134: Potential incorrect RealServer weight update logic in IPVS p...?,section_aware__issue__issue_131134__0001,section_aware__issue__issue_131134__0000;section_aware__issue__issue_131134__0001;section_aware__issue__issue_131134__0004;section_aware__issue__issue_131134__0006;section_aware__issue__issue_131134__0002;section_aware__comment__comment_2802047343__0001;section_aware__comment__comment_2802047343__0000;section_aware__comment__comment_4312595280__0000;section_aware__issue__issue_131134__0007;section_aware__issue__issue_138352__0000,1.0,1.0,0.5
