candidate_id,question,ideal_answer,ground_truth_chunk_ids,source_urls,source_types,issue_numbers,notes,hand_labeled_for_judge_check,curator_status
cand_0000,What does the Kubernetes documentation say about Kubernetes (K8s)?,"!GitHub release (latest SemVer) <img src=""https://github.com/kubernetes/kubernetes/raw/master/logo/logo.png"" width=""100""> Kubernetes, also known as K8s, is an open source system for managing [containerized applications]
across multiple hosts.",section_aware__docs__kubernetes_kubernetes_readme_md__0000,https://github.com/kubernetes/kubernetes/blob/master/README.md,docs,,From docs: README.md | section: # Kubernetes (K8s) | char_length: 941,false,candidate
cand_0001,What does the Kubernetes documentation say about Control plane components?,"The control plane's components make global decisions about the cluster (for example, scheduling),
as well as detecting and responding to cluster events (for example, starting up a new
{{< glossary_tooltip text=""pod"" term_id=""pod"">}} when a Deployment's
`{{< glossary_tooltip text=""replicas"" term_id=""...",section_aware__docs__kubernetes_website_content_en_docs_concepts_architecture_index_md__0002,https://github.com/kubernetes/website/blob/main/content/en/docs/concepts/architecture/_index.md,docs,,From docs: _index.md | section: ## Control plane components | char_length: 780,false,candidate
cand_0002,What does the Kubernetes documentation say about Namespaces of Services?,"A DNS query may return different results based on the namespace of the Pod making
it. DNS queries that don't specify a namespace are limited to the Pod's
namespace. Access Services in other namespaces by specifying it in the DNS query. For example, consider a Pod in a `test` namespace.",section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_dns_pod_service___0001,https://github.com/kubernetes/website/blob/main/content/en/docs/concepts/services-networking/dns-pod-service.md,docs,,From docs: dns-pod-service.md | section: ### Namespaces of Services | char_length: 923,false,candidate
cand_0003,What does the Kubernetes documentation say about Services in Kubernetes?,"The Service API, part of Kubernetes, is an abstraction to help you expose groups of
Pods over a network. Each Service object defines a logical set of endpoints (usually
these endpoints are Pods) along with a policy about how to make those pods accessible.",section_aware__docs__kubernetes_website_content_en_docs_concepts_services_networking_service_md__0003,https://github.com/kubernetes/website/blob/main/content/en/docs/concepts/services-networking/service.md,docs,,From docs: service.md | section: ## Services in Kubernetes | char_length: 962,false,candidate
cand_0004,What does the Kubernetes documentation say about Why volumes are important?,"- **Data persistence:** On-disk files in a container are ephemeral, which presents some problems for
 non-trivial applications when running in containers.",section_aware__docs__kubernetes_website_content_en_docs_concepts_storage_volumes_md__0002,https://github.com/kubernetes/website/blob/main/content/en/docs/concepts/storage/volumes.md,docs,,From docs: volumes.md | section: ## Why volumes are important | char_length: 793,false,candidate
cand_0005,What does the Kubernetes documentation say about Use Case?,"* Create a Deployment to rollout a ReplicaSet. The ReplicaSet creates Pods in the background. Check the status of the rollout to see if it succeeds or not.
* Declare the new state of the Pods by updating the PodTemplateSpec of the Deployment.",section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_controllers_deployment_md__0003,https://github.com/kubernetes/website/blob/main/content/en/docs/concepts/workloads/controllers/deployment.md,docs,,From docs: deployment.md | section: ## Use Case | char_length: 1024,false,candidate
cand_0006,What does the Kubernetes documentation say about What is a Pod?,"{{< note >}}
You need to install a container runtime
into each node in the cluster so that Pods can run there.
{{< /note >}} The shared context of a Pod is a set of Linux namespaces, cgroups, and
potentially other facets of isolation - the same things that isolate a {{< glossary_tooltip text=""contai...",section_aware__docs__kubernetes_website_content_en_docs_concepts_workloads_pods_index_md__0002,https://github.com/kubernetes/website/blob/main/content/en/docs/concepts/workloads/pods/_index.md,docs,,From docs: _index.md | section: ## What is a Pod? | char_length: 652,false,candidate
cand_0007,What does the Kubernetes documentation say about Listing your cluster?,"The first thing to debug in your cluster is if your nodes are all registered correctly. Run the following command: ```shell
kubectl get nodes
``` And verify that all of the nodes you expect to see are present and that they are all in the `Ready` state.",section_aware__docs__kubernetes_website_content_en_docs_tasks_debug_debug_cluster_index_md__0001,https://github.com/kubernetes/website/blob/main/content/en/docs/tasks/debug/debug-cluster/_index.md,docs,,From docs: _index.md | section: ## Listing your cluster | char_length: 404,false,candidate
cand_0008,What was the reported issue in #119640: NCC-E003660-WV3: Privilege Escalation via `nodes/proxy` Perm...?,"This issue was reported in the Kubernetes 1.24 Security Audit Report

**Impact**
A user with permissions on the `nodes/proxy` subresource in a cluster has full permissions
against the kubelet API on any node by proxying requests through the API server, and can
execute commands in any pod.",section_aware__issue__issue_119640__0002,https://github.com/kubernetes/kubernetes/issues/119640,issue,119640,"Issue #119640 | labels: kind/documentation, sig/node, sig/auth, lifecycle/frozen, wg/security-audit, sig/security, needs-triage | section: ### NCC-E003660-WV3: Privilege Escalation via `nodes/proxy` Permission | char_length: 1024",false,candidate
cand_0009,What was the reported issue in #127803: Support takeover for devicemanager/device-plugin?,"Currently, devicemanager only works with one device-plugin instance for every resource. In other words, if two device-plugin are running, devicemanager may have unexpected behaviors. 

For example, when two device-plugin are running, they are both registered for the same resource.",section_aware__issue__issue_127803__0002,https://github.com/kubernetes/kubernetes/issues/127803,issue,127803,"Issue #127803 | labels: priority/backlog, sig/node, kind/feature, needs-triage | section: ### Why is this needed? | char_length: 829",false,candidate
